,airport,timezone
347,AQM,America/Porto_Velho
348,AQP,America/Lima
349,AQS,Pacific/Fiji
350,AQY,America/Anchorage
351,ARA,America/Chicago
352,ARB,America/Detroit
353,ARC,America/Anchorage
354,ARD,Asia/Makassar
355,ARE,America/Puerto_Rico
356,ARF,America/Bogota
357,ARG,America/Chicago
358,ARH,Europe/Moscow
359,ARI,America/Santiago
360,ARJ,Asia/Jayapura
361,ARK,Africa/Dar_es_Salaam
362,ARL,Africa/Ouagadougou
363,ARM,Australia/Sydney
364,ARN,Europe/Stockholm
365,ARO,America/Bogota
366,ARP,Pacific/Port_Moresby
367,ARQ,America/Bogota
368,ARR,America/Argentina/Catamarca
369,ARS,America/Sao_Paulo
370,ART,America/New_York
371,ARU,America/Sao_Paulo
372,ARV,America/Chicago
373,ARW,Europe/Bucharest
374,ARX,America/Fortaleza
375,ARY,Australia/Melbourne
376,ARZ,Africa/Luanda
377,ASA,Africa/Asmara
378,ASB,Asia/Ashgabat
379,ASC,America/La_Paz
380,ASD,America/Nassau
381,ASE,America/Denver
382,ASF,Europe/Astrakhan
383,ASG,Pacific/Auckland
384,ASH,America/New_York
385,ASI,Atlantic/St_Helena
386,ASJ,Asia/Tokyo
387,ASK,Africa/Abidjan
388,ASL,America/Chicago
389,ASM,Africa/Asmara
390,ASN,America/Chicago
391,ASO,Africa/Addis_Ababa
392,ASP,Australia/Darwin
393,ASQ,America/Los_Angeles
394,ASR,Europe/Istanbul
395,ASS,Africa/Johannesburg
396,AST,America/Los_Angeles
397,ASU,America/Asuncion
398,ASV,Africa/Nairobi
399,ASW,Africa/Cairo
400,ASX,America/Chicago
401,ASY,America/Chicago
402,ASZ,Pacific/Port_Moresby
403,ATA,America/Lima
404,ATB,Africa/Khartoum
405,ATC,America/Nassau
406,ATD,Pacific/Guadalcanal
407,ATE,America/Chicago
408,ATF,America/Guayaquil
409,ATG,Asia/Karachi
410,ATH,Europe/Athens
411,ATI,America/Montevideo
412,ATJ,Indian/Antananarivo
413,ATK,America/Anchorage
414,ATL,America/New_York
415,ATM,America/Manaus
416,ATN,Pacific/Port_Moresby
417,ATO,America/New_York
418,ATP,Pacific/Port_Moresby
419,ATQ,Asia/Kolkata
420,ATR,Africa/Nouakchott
421,ATS,America/Denver
422,ATT,America/Nome
423,ATU,America/Adak
424,ATV,Africa/Ndjamena
425,ATW,America/Chicago
426,ATX,Asia/Almaty
427,ATY,America/Chicago
428,ATZ,Africa/Cairo
429,AUA,America/Aruba
430,AUC,America/Bogota
431,AUD,Australia/Brisbane
432,AUE,Africa/Cairo
433,AUF,Europe/Paris
434,AUG,America/New_York
435,AUH,Asia/Dubai
436,AUI,Pacific/Port_Moresby
437,AUJ,Pacific/Port_Moresby
438,AUK,America/Nome
439,AUL,Pacific/Majuro
440,AUM,America/Chicago
441,AUN,America/Los_Angeles
442,AUO,America/Chicago
443,AUP,Pacific/Port_Moresby
444,AUQ,Pacific/Marquesas
445,AUR,Europe/Paris
446,AUS,America/Chicago
447,AUT,Asia/Dili
448,AUU,Australia/Brisbane
449,AUV,Pacific/Port_Moresby
450,AUW,America/Chicago
451,AUX,America/Araguaina
452,AUY,Pacific/Efate
453,AUZ,America/Chicago
454,AVA,Asia/Shanghai
455,AVB,Europe/Rome
456,AVG,Australia/Darwin
457,AVI,America/Havana
458,AVK,Asia/Ulaanbaatar
459,AVL,America/New_York
460,AVN,Europe/Paris
461,AVO,America/New_York
462,AVP,America/New_York
463,AVR,Europe/Lisbon
464,AVU,Pacific/Guadalcanal
465,AVV,Australia/Melbourne
466,AVW,America/Phoenix
467,AVX,America/Los_Angeles
468,AWA,Africa/Addis_Ababa
469,AWB,Pacific/Port_Moresby
470,AWD,Pacific/Efate
471,AWE,Africa/Libreville
472,AWK,Pacific/Wake
473,AWM,America/Chicago
474,AWN,Australia/Adelaide
475,AWP,Australia/Darwin
476,AWR,Pacific/Port_Moresby
477,AWZ,Asia/Tehran
478,AXA,America/Anguilla
479,AXB,America/New_York
480,AXC,Australia/Brisbane
481,AXD,Europe/Athens
482,AXE,America/Sao_Paulo
483,AXF,Asia/Shanghai
484,AXG,America/Chicago
485,AXJ,Asia/Tokyo
486,AXK,Asia/Aden
487,AXL,Australia/Darwin
488,AXM,America/Bogota
489,AXN,America/Chicago
490,AXP,America/Nassau
491,AXR,Pacific/Tahiti
492,AXS,America/Chicago
493,AXT,Asia/Tokyo
494,AXU,Africa/Addis_Ababa
495,AXV,America/New_York
496,AXX,America/Denver
497,AYA,America/Bogota
498,AYC,America/Bogota
499,AYD,Australia/Darwin
500,AYG,America/Bogota
501,AYI,America/Bogota
502,AYK,Asia/Almaty
503,AYL,Australia/Darwin
504,AYM,Asia/Dubai
505,AYN,Asia/Shanghai
506,AYO,America/Asuncion
507,AYP,America/Lima
508,AYQ,Australia/Darwin
509,AYR,Australia/Brisbane
510,AYS,America/New_York
511,AYT,Europe/Istanbul
512,AYU,Pacific/Port_Moresby
513,AYW,Asia/Jayapura
514,AYY,Asia/Colombo
515,AZA,America/Phoenix
516,AZB,Pacific/Port_Moresby
517,AZD,Asia/Tehran
518,AZG,America/Mexico_City
519,AZI,Asia/Dubai
520,AZL,America/Cuiaba
521,AZN,Asia/Tashkent
522,AZO,America/Detroit
523,AZP,America/Mexico_City
524,AZR,Africa/Algiers
525,AZS,America/Santo_Domingo
526,AZT,America/Bogota
527,AZZ,Africa/Luanda
528,BAA,Pacific/Port_Moresby
529,BAB,America/Los_Angeles
530,BAC,America/Bogota
531,BAD,America/Chicago
532,BAE,Europe/Paris
533,BAF,America/New_York
534,BAG,Asia/Manila
535,BAH,Asia/Bahrain
536,BAI,America/Costa_Rica
537,BAJ,Pacific/Port_Moresby
538,BAK,Asia/Baku
539,BAL,Europe/Istanbul
540,BAM,America/Los_Angeles
541,BAN,Africa/Lubumbashi
542,BAP,Pacific/Port_Moresby
543,BAQ,America/Bogota
544,BAR,Asia/Shanghai
545,BAS,Pacific/Guadalcanal
546,BAT,America/Sao_Paulo
547,BAV,Asia/Shanghai
548,BAW,Africa/Libreville
549,BAX,Asia/Omsk
550,BAY,Europe/Bucharest
551,BAZ,America/Manaus
552,BBA,America/Santiago
553,BBB,America/Chicago
554,BBC,America/Chicago
555,BBD,America/Chicago
556,BBG,Pacific/Tarawa
557,BBH,Europe/Berlin
558,BBI,Asia/Kolkata
559,BBJ,Europe/Berlin
560,BBK,Africa/Gaborone
561,BBL,Australia/Brisbane
562,BBM,Asia/Phnom_Penh
563,BBN,Asia/Kuching
564,BBO,Africa/Mogadishu
565,BBP,Europe/London
566,BBQ,America/Antigua
567,BBR,America/Guadeloupe
568,BBS,Europe/London
569,BBT,Africa/Bangui
570,BBU,Europe/Bucharest
571,BBV,Africa/Abidjan
572,BBW,America/Chicago
573,BBX,America/New_York
574,BBY,Africa/Bangui
575,BBZ,Africa/Lusaka
576,BCA,America/Havana
577,BCB,America/New_York
578,BCC,America/Anchorage
579,BCD,Asia/Manila
580,BCE,America/Denver
581,BCF,Africa/Bangui
582,BCG,America/Guyana
583,BCH,Asia/Dili
584,BCI,Australia/Brisbane
585,BCK,Australia/Brisbane
586,BCL,America/Costa_Rica
587,BCM,Europe/Bucharest
588,BCN,Europe/Madrid
589,BCO,Africa/Addis_Ababa
590,BCP,Pacific/Port_Moresby
591,BCQ,Africa/Tripoli
592,BCR,America/Manaus
593,BCS,America/Chicago
594,BCT,America/New_York
595,BCU,Africa/Lagos
596,BCV,America/Belize
597,BCW,Africa/Maputo
598,BCX,Asia/Yekaterinburg
599,BCY,Africa/Addis_Ababa
600,BCZ,Australia/Darwin
601,BDA,Atlantic/Bermuda
602,BDB,Australia/Brisbane
603,BDC,America/Fortaleza
604,BDD,Australia/Brisbane
605,BDE,America/Chicago
606,BDF,America/Chicago
607,BDG,America/Denver
608,BDH,Asia/Tehran
609,BDI,Indian/Mahe
610,BDJ,Asia/Makassar
611,BDK,Africa/Abidjan
612,BDL,America/New_York
613,BDM,Europe/Istanbul
614,BDN,Asia/Karachi
615,BDO,Asia/Jakarta
616,BDP,Asia/Kathmandu
617,BDQ,Asia/Kolkata
618,BDR,America/New_York
619,BDS,Europe/Rome
